Day,Time,Title,Speaker,Theme1,Theme2,Theme3
Thursday,12.45,The fight for trans liberation,Laura Miles,Liberation,,
Thursday,12.45,What does the Anthropocene mean for revolutionary strategy?,Martin Empson,Climate,,
Thursday,12.45,Workshop: Do we need violence to get real social change?,Nadia Sayed,Socialism,,
Thursday,12.45,Africa and Imperialism today,Chin Chukwudinma,Racism,,
Thursday,14.30,Brexit & the Tory crisis: How can the Left gain?,,Corbyn,,
Thursday,14.30,Debate: Decolonising education: confronting the legacy of slavery & empire,,Racism,,
Thursday,14.30,Marxism & religion: sigh of the oppressed?,Maxine Bowler,Socialism,,
Thursday,14.30,Is science political?,Camilla Royle,,,
Thursday,16.15,Turkey-- the Kurds and the great powers,Ron Margulies,Imperialism,,
Thursday,16.15,A Marxist history of early Islam,Jad Bouharoun,Imperialism,,
Thursday,16.15,"Workshop: ""Snowflake generation"" - who decides free speech?",Lewis Nielsen,Socialism,,
Thursday,16.15,What do we mean by class?,Julie Sherry,Class,,
Thursday,16.15,What was unique about the translatlantic slave trade?,Ken Olende,Imperialism,,
Thursday,19.00,Marxism 2018 opening rally,,,,
Friday,10.00,30 years since Salman Rushdie: A turning point for British Muslims?,Hassan Mahamdallie,Racism,,
Friday,10.00,The politics of food,Jan Nielsen,Climate,,
Friday,10.00,50 years on: How did the US lose in Vietnam?,Yunus Bakhsh,Imperialism,,
Friday,10.00,Where is China going?,Adrian Budd,Imperialism,,
Friday,10.00,Introduction to Capital course (1 of 3),Joseph Choonara,Marx@200,,
Friday,10.00,Workshop: What would a revolution look like?,Alan Kenny,Socialism,,
Friday,11.45,50 years on: What is the role of Socialist Worker?,Charlie Kimber,Socialism,,
Friday,11.45,Why does capitalism love plastic?,Amy Leather,Climate,,
Friday,11.45,Black Thinkers matter: who was Frantz Fanon?,Talat Ahmed,Racism,Imperialism,
Friday,11.45,The rise of Saudi Arabia and the political economy of the Gulf,Anne Alexander,Imperialism,,
Friday,11.45,Introduction to Capital course (2 of 3),Joseph Choonara,Marx@200,,
Friday,11.45,Italy-- racism and the rise of the far right,Lucia Pradella,Racism,,
Friday,14.30,Trump-- trade wars & real wars,Alex Callinicos,Trump,,
Friday,14.30,Black thinkers matter:Angela Davis: Women-- race and class,Esme Choonara,Racism,Sexism,
Friday,14.30,Workshop Fake News: does the Media control our minds?,Patrick Nielsen,,,
Friday,14.30,Booklaunch: Kill all the Gentlemen,Martin Empson,,,
Friday,14.30,What happened to Queer Theory?,Noel Halifax,Liberation,,
Friday,14.30,Introduction to Capital course (3 of 3),Joseph Choonara,Marx@200,,
Friday,14.30,Blank,,,,
Friday,16.15,Debate: The fire last time: what is the legacy of 1968?,Maria Styllou-- Matt Collins,,,
Friday,16.15,Who are the FLA/DFLA?,Michael Bradley,Racism,,
Friday,16.15,Debate: From demolitions to social cleansing: the class war on housing,Panel,,,
Friday,16.15,Iran on the brink,Peyman Jafari,Imperialism,,
Friday,16.15,Workshop: The concept of race: What does it mean to be Black?,Antony Hamilton,Racism,,
Friday,16.15,Workshop: Where does sexism come from?,Celia Hutchison,Sexism,,
Friday,16.15,What future with AI and robots?,Martin Upchurch,Class,,
Friday,19.00,Debate Labour and the fight against austerity,Dave Ward-- Ian Hodson,Socialism,Class,Corbyn
Friday,19.00,Justice and the British State,Sheila Coleman & others,,,
Friday,19.00,South Africa after Zuma,Ronnie Kasrils,,,
Friday,19.00,Is there progress in art?,John Molyneux,Culture,,
Friday,19.00,Gun and knife crime: why are young people killing each other?,Dean Ryan,Class,racism,
Friday,19.00,The case against borders: why we oppose all immigration controls,Helen Salmon,Racism,,
Friday,20.30,Culture: Comedy night,,Culture,,
Friday,20.30,Culture: Freesia film screening,,Culture,,
Friday,20.30,Culture: Live theatre,,Culture,,
Saturday,10.00,Is Leninism authoritarian?,John Molyneux,Socialism,,
Saturday,10.00,Iraq: What happened next?,Phil Marfleet,Imperialism,,
Saturday,10.00,How did women win the vote?,Sarah Bates,Sexism,,
Saturday,10.00,Antisemitism and the far right today,Anna Gluckstein,Racism,,
Saturday,10.00,Who were the real Black panthers?,Ameen Hadi,Racism,,
Saturday,10.00,When students and workers united: May 1968,Colm Bryce,,,
Saturday,11.45,Revolutionaries in the era of Corbyn,Charlie Kimber,Socialism,Corbyn,
Saturday,11.45,One year on: Grenfell & the fight for Justice,Moyra Samuels-- Lucy Masoud,,,
Saturday,11.45,Marx's laws of motion in 30 minutes,Michael Roberts,Marx@200,,
Saturday,11.45,Trojan Horse-- Prevent and fighting Islamophobia,John Holmwood & others,Racism,,
Saturday,11.45,What makes humans different from animals?,John Parrington,,,
