Day,Time,Title,Speaker,Room,Venue,Theme1,Theme2,Theme3,Description,Is highlight
Thursday,12.30,The fight for trans liberation,Laura Miles,Malet Suite,SC,Liberation,,,"We have seen an explosion of trans awareness and activism over the last few years, but we've also seen attempts by the bigots to stigmatise trans people. Shockingly, some on the Left have beeen hesistant to support trans people in their fight for liberation. Join author and activist Laura Miles to debate the arguments and discuss how we can build solidarity with trans resistance today. ",
Thursday,12.30,What does the Anthropocene mean for revolutionary strategy?,Martin Empson,3E,SC,Climate,,,"Martin Empson, author of Land and Labour, will be discussing why the Anthropocene matters for climate activists",
Thursday,12.30,Workshop: Do we need violence to get real social change?,Nadia Sayed,3D,SC,Socialism,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Thursday,12.30,Africa and Imperialism today,Chin Chukwudinma,3C,SC,Racism,,,,Y
Thursday,14.30,Brexit & the Tory crisis: How can the Left gain?,Mark Thomas,The Venue,SC,Corbyn,,,"The Brexit crisis for the Tories continues to rumble on, with resignations, splits and rows a regular feature. However, Labour and Corbyn have been stuck on the issue, and it seems the Tories are being let off the hook. Join the debate on how the Left can agin from the Tory crisis.",
Thursday,14.30,Debate: Decolonising education: confronting the legacy of slavery & empire,Talat Ahmed and Harjeevan Gill,Malet Suite,SC,Racism,,,"The legacy of slavery and empire weighs heavy in education, from statues of Rhodes on campus to a narrow curriculum that excludes Black thinkers and writers. It is therefore no suprise that movements have sprung up to decolonise education. Join Talat Ahmed and Harjeevan Gill to debate how we can confront the legacy of slavery and empire.",
Thursday,14.30,Is science political?,Camilla Royle,3E,SC,,,,,
Saturday,10.00,When students and workers united: May 1968,Colm Bryce,3D,SC,Socialism,,,,
Thursday,16.15,"Turkey, the Kurds and the great powers",Ron Margulies,The Venue,SC,Imperialism,,,,
Thursday,16.15,A Marxist history of early Islam,Jad Bouharoun,Malet Suite,SC,Imperialism,,,,
Thursday,16.15,Workshop: Snowflake generation? Who decides free speech?,Lewis Nielsen,3E,SC,Socialism,,,"From Tommy Robinson to the 'Snowflake Generation', the question of free speech is used by the right to attack the Left as being intolerant and totalitarian. Should we support absolute free speech? Should the far right be no platformed? Join this workshop to debate these questions and more. ",
Thursday,16.15,What do we mean by class?,Julie Sherry,3D,SC,Class,,,,
Thursday,16.15,What was unique about the translatlantic slave trade?,Ken Olende,3C,SC,Imperialism,,,,
Thursday,19.00,"Opening rally: Taking on Trump - resisting racism, oppression, war & austerity",,The Light ,Friends Meeting House,,,,"The opening rally is a highlight of Marxism and will feature speakers including pro-choice activists from Ireland, anti-racist activists and campaigners from around the world. Don't miss it!",
Friday,10.00,30 years since Salman Rushdie: A turning point for British Muslims?,Hassan Mahamdallie,Upper Hall,SC,Racism,,,"The Rushdie affair is often seen as a turning point for modern islamophobia in Britain. Hassan Mahamdallie, editor of Critical Muslim, will be discussing the legacy of the Rushdie affair and its relevance today.",
Friday,10.00,The politics of food,Jan Nielsen,Malet Suite,SC,Climate,,,,
Friday,10.00,50 years on: How did the US lose in Vietnam?,Yunus Bakhsh,3E,SC,Imperialism,,,,
Friday,10.00,Where is China going?,Adrian Budd,3D,SC,Imperialism,,,,
Friday,10.00,Workshop: What would a revolution look like?,Alan Kenny,3C,SC,Socialism,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Friday,10.00,Introduction to Capital course ,Joseph Choonara,3B,SC,Marx@200,,,"Joseph Choonara, author of A Reader's Guide to Capital, will be leading a specialcourse aimed at those aiming to read Marx's Capital. Timings may differ from those of other meetings, although the lunchbreak will remain unchanged. ",
Friday,11.45,50 years on: What is the role of Socialist Worker today?,Charlie Kimber,Upper Hall,SC,Socialism,,,,
Friday,11.45,Why does capitalism love plastic?,Amy Leather,Malet Suite,SC,Climate,,,,
Friday,11.45,Black Thinkers Matter: who was Frantz Fanon?,Talat Ahmed,3E,SC,Racism,Imperialism,,,
Friday,11.45,The rise of Saudi Arabia and the political economy of the Gulf,Anne Alexander,3D,SC,Imperialism,,,,
Friday,11.45,Italy: between EU austerity & racist populists,Lucia Pradella,3C,SC,Racism,,,,
Friday,11.45,Introduction to Capital course (cont'd),Joseph Choonara,3B,SC,Marx@200,,,"Joseph Choonara, author of A Reader's Guide to Capital, will be leading a specialcourse aimed at those aiming to read Marx's Capital. Timings may differ from those of other meetings, although the lunchbreak will remain unchanged. ",
Friday,14.30,"Trump, trade wars & real wars",Alex Callinicos,The Venue,SC,Trump,,,"Trump's chaotic regime has represented a crisis for liberal capitalism, not least through his threats of trade wars and real wars. Alex Callinicos will be debating his first 18 months in power.",
Friday,14.30,"Black thinkers matter:Angela Davis: Women, race and class",Esme Choonara,Upper Hall,SC,Racism,Sexism,,"Angela Davis, civil rights and Black Panther activist, remains a figurehead and face of resistance around the world. The meeting will be discussing the life and politics of a revolutionary.",
